id,user_id,doubt_id,created_at,activity_type
2121357,120623,248193,2020-01-01 04:26:08 UTC,assign
2121358,120623,248193,2020-01-01 04:26:15 UTC,accept
2121359,165368,248199,2020-01-01 04:29:18 UTC,assign
2121360,165368,248199,2020-01-01 04:29:34 UTC,reject
2121399,265305,248191,2020-01-01 04:35:07 UTC,assign
2121400,265305,248191,2020-01-01 04:35:16 UTC,accept
2121401,265305,248194,2020-01-01 04:35:39 UTC,assign
2121402,265305,248194,2020-01-01 04:35:43 UTC,accept
2121403,265305,248198,2020-01-01 04:35:49 UTC,assign
2121404,265305,248198,2020-01-01 04:35:57 UTC,accept
2121423,165368,248190,2020-01-01 04:45:18 UTC,assign
2121425,165368,248190,2020-01-01 04:45:40 UTC,accept
2121428,265305,248194,2020-01-01 04:48:07 UTC,review_resolution
2121430,165368,248190,2020-01-01 04:49:08 UTC,review_resolution
2121441,120623,248193,2020-01-01 04:50:44 UTC,review_resolution
2121457,120623,248193,2020-01-01 04:55:33 UTC,reactivate
2121459,382823,248194,2020-01-01 04:56:07 UTC,resolve
2121461,382823,248194,2020-01-01 04:56:13 UTC,rate
2121464,265305,248191,2020-01-01 04:56:40 UTC,pending_action_required
2121490,120623,248193,2020-01-01 05:04:32 UTC,review_resolution
2121492,382823,248193,2020-01-01 05:05:30 UTC,resolve
2121493,382823,248193,2020-01-01 05:05:32 UTC,rate
2121499,165368,248209,2020-01-01 05:07:28 UTC,assign
2121500,165368,248209,2020-01-01 05:07:32 UTC,reject
2121501,165368,248209,2020-01-01 05:07:33 UTC,assign
2121502,357687,248190,2020-01-01 05:07:36 UTC,resolve
2121503,165368,248209,2020-01-01 05:07:36 UTC,accept
2121504,357687,248190,2020-01-01 05:07:37 UTC,rate
2121512,71,248198,2020-01-01 05:10:24 UTC,inactivate
2121515,29564,248188,2020-01-01 05:13:31 UTC,assign
2121518,71,248188,2020-01-01 05:18:11 UTC,unassign
2121529,165368,248209,2020-01-01 05:23:50 UTC,review_resolution
2121531,265305,248198,2020-01-01 05:23:52 UTC,assign
2121532,265305,248198,2020-01-01 05:23:55 UTC,reject
2121552,240547,248201,2020-01-01 05:26:25 UTC,resolve
2121558,165368,248212,2020-01-01 05:28:08 UTC,assign
2121559,120623,248198,2020-01-01 05:28:23 UTC,assign
2121561,165368,248212,2020-01-01 05:28:30 UTC,reject
2121579,120623,248198,2020-01-01 05:29:25 UTC,unassign
2121581,165368,248211,2020-01-01 05:29:37 UTC,assign
2121582,165368,248211,2020-01-01 05:29:46 UTC,accept
2121591,165368,248207,2020-01-01 05:32:06 UTC,assign
2121592,165368,248207,2020-01-01 05:32:12 UTC,accept
2121593,165368,248211,2020-01-01 05:32:33 UTC,escalate
2121594,165368,248212,2020-01-01 05:32:41 UTC,assign
2121596,165368,248212,2020-01-01 05:33:17 UTC,reject
2121597,165368,248212,2020-01-01 05:33:19 UTC,assign
2121598,165368,248212,2020-01-01 05:33:21 UTC,accept
2121602,165368,248207,2020-01-01 05:36:33 UTC,review_resolution
2121607,401648,248207,2020-01-01 05:38:41 UTC,resolve
2121608,401648,248207,2020-01-01 05:38:44 UTC,rate
2121614,165368,248212,2020-01-01 05:40:44 UTC,review_resolution
2121615,466687,248212,2020-01-01 05:40:47 UTC,resolve
2121616,466687,248212,2020-01-01 05:40:49 UTC,rate
2121669,367611,248209,2020-01-01 05:50:29 UTC,resolve
2121670,367611,248209,2020-01-01 05:50:31 UTC,rate
2121687,165368,248214,2020-01-01 05:52:24 UTC,assign
2121688,165368,248214,2020-01-01 05:52:27 UTC,accept
2121695,165368,248214,2020-01-01 05:56:32 UTC,review_resolution
2121696,484997,248214,2020-01-01 05:56:36 UTC,resolve
2121698,484997,248214,2020-01-01 05:56:38 UTC,rate
2121713,165368,248216,2020-01-01 06:15:50 UTC,assign
2121715,71,248216,2020-01-01 06:17:14 UTC,unassign
2121716,165368,248219,2020-01-01 06:17:15 UTC,assign
2121717,165368,248219,2020-01-01 06:17:18 UTC,reject
2121732,165368,248216,2020-01-01 06:24:23 UTC,assign
2121734,71,248216,2020-01-01 06:27:09 UTC,unassign
2121735,163823,248225,2020-01-01 06:30:52 UTC,assign
2121736,71,248225,2020-01-01 06:33:09 UTC,unassign
2121739,120964,248225,2020-01-01 06:36:29 UTC,assign
2121740,120964,248225,2020-01-01 06:36:40 UTC,reject
2121745,120964,248198,2020-01-01 06:36:50 UTC,assign
2121746,120964,248198,2020-01-01 06:36:55 UTC,reject
2121747,120964,248220,2020-01-01 06:36:55 UTC,assign
2121748,120964,248220,2020-01-01 06:37:02 UTC,reject
2121749,120964,248221,2020-01-01 06:37:03 UTC,assign
2121750,120964,248221,2020-01-01 06:37:07 UTC,accept
2121751,156881,248189,2020-01-01 06:39:08 UTC,assign
2121752,156881,248189,2020-01-01 06:39:13 UTC,accept
2121757,999,248221,2020-01-01 06:44:01 UTC,resolve
2121758,999,248221,2020-01-01 06:44:03 UTC,rate
2121761,79641,248216,2020-01-01 06:46:13 UTC,assign
2121762,175223,248205,2020-01-01 06:46:24 UTC,assign
2121763,175223,248205,2020-01-01 06:46:34 UTC,accept
2121765,156881,248189,2020-01-01 06:47:49 UTC,review_resolution
2121766,175223,248210,2020-01-01 06:48:30 UTC,assign
2121767,175223,248210,2020-01-01 06:48:34 UTC,reject
2121768,175223,248227,2020-01-01 06:48:37 UTC,assign
2121769,175223,248227,2020-01-01 06:48:41 UTC,reject
2121772,175223,248205,2020-01-01 06:49:38 UTC,review_resolution
2121774,175223,248218,2020-01-01 06:49:45 UTC,assign
2121775,175223,248218,2020-01-01 06:49:49 UTC,reject
2121776,175223,248229,2020-01-01 06:49:50 UTC,assign
2121777,417024,248205,2020-01-01 06:50:07 UTC,review_not_resolved
2121778,175223,248229,2020-01-01 06:50:10 UTC,reject
2121779,175223,248205,2020-01-01 06:50:11 UTC,assign
2121780,175223,248205,2020-01-01 06:50:55 UTC,reject
2121781,175223,248205,2020-01-01 06:50:56 UTC,assign
2121782,175223,248205,2020-01-01 06:50:58 UTC,reject
2121783,175223,248205,2020-01-01 06:50:59 UTC,assign
2121785,71,248216,2020-01-01 06:51:09 UTC,unassign
2121786,175223,248205,2020-01-01 06:51:25 UTC,reject
2121787,175223,248205,2020-01-01 06:51:26 UTC,assign
2121791,71,248205,2020-01-01 06:54:11 UTC,unassign
2121793,106179,248213,2020-01-01 06:57:09 UTC,assign
2121794,106179,248213,2020-01-01 06:58:11 UTC,unassign
2121795,106179,248213,2020-01-01 06:58:12 UTC,assign
2121796,106179,248213,2020-01-01 06:59:18 UTC,unassign
2121797,106179,248213,2020-01-01 06:59:19 UTC,assign
2121798,106179,248213,2020-01-01 07:00:20 UTC,unassign
2121799,106179,248213,2020-01-01 07:00:25 UTC,assign
2121800,106179,248213,2020-01-01 07:00:35 UTC,accept
2121801,136471,248233,2020-01-01 07:01:19 UTC,assign
2121802,136471,248233,2020-01-01 07:01:33 UTC,accept
2121803,136471,248225,2020-01-01 07:02:26 UTC,assign
2121804,136471,248225,2020-01-01 07:03:28 UTC,unassign
2121805,136471,248225,2020-01-01 07:03:46 UTC,assign
2121806,136471,248225,2020-01-01 07:04:17 UTC,accept
